districtid,statemean,statestdev
715,36799,12260.13
716,287,546.28
717,180.4,329.09
718,284.5,547.38
719,186.52,331.74
720,2082.91,2383.59
721,1329.29,366.95
722,404.8,602.16
723,37735,12173.4
724,13197.48,25352.44
725,3425.19,3447.47
726,25618.26,44168.36
727,396.6,606.58
