districtid,monthid,neighborhoodzscore,statezscore
239,2,0.16,-0.46
239,3,0.96,-0.42
239,4,3.91,-0.23
239,5,3.67,-0.28
239,6,1.94,-0.36
240,1,0,0
240,2,-1.08,-0.28
240,3,-0.71,-0.31
240,4,-1.15,-0.36
240,5,-0.87,-0.25
240,6,-0.91,-0.17
241,1,0,0
241,2,-0.49,-0.48
241,3,-0.75,-0.71
241,4,-0.85,-0.52
241,5,-0.85,-0.67
241,6,-0.69,-0.52
242,1,0,0
242,2,29.08,6.66
242,3,1.53,-0.27
242,4,-0.29,-0.59
242,5,0.0,0.19
242,6,0.44,0.97
243,1,0,0
243,2,1.63,2.23
243,3,3.6,2.67
243,4,3.8,2.63
243,5,0.97,0.89
243,6,1.58,1.78
244,1,0,0
244,2,177.47,0
244,3,32.56,0
244,4,49.06,0
244,5,21.1,0
244,6,32.91,0
245,1,0,0
245,2,-1.27,-0.3
245,3,-0.27,-0.55
245,4,-1.02,-0.52
245,5,-1.7,-0.64
245,6,-2.16,-0.87
246,1,0,0
246,2,-0.61,-0.26
246,3,-1.0,-0.99
246,4,-0.28,-0.37
246,5,-0.08,-0.12
246,6,0.36,-0.33
247,1,0,0
247,2,-0.43,-0.53
247,3,0.65,0.17
247,4,-0.85,-0.23
247,5,0.01,0.13
247,6,-0.01,0.12
248,1,0,0
248,2,-0.25,-0.4
248,3,-1.55,-0.49
248,4,-0.97,-0.43
248,5,-1.21,-0.59
248,6,-0.93,-0.54
249,1,0,0
249,2,-0.43,-0.06
249,3,-0.47,-0.06
249,4,-0.38,-0.11
249,5,-0.49,-0.28
249,6,-0.48,-0.34
250,1,0,0
250,2,301.0,334.91
250,3,0.08,-0.47
250,4,-0.69,-0.98
250,5,-0.08,-0.42
250,6,1.98,-0.28
251,1,0,0
251,2,-0.46,-0.46
251,3,-0.74,-1.08
251,4,-0.69,-0.74
251,5,-0.6,-0.43
251,6,-0.52,-0.35
252,1,0,0
252,2,-0.29,-0.26
252,3,2.0,0.7
252,4,3.39,0.84
252,5,0.38,0.25
252,6,1.14,0.57
253,1,0,0
253,2,-0.35,0.08
253,3,-0.52,-0.24
253,4,-0.49,-0.28
253,5,-0.49,-0.17
253,6,-0.43,-0.13
254,1,0,0
254,2,-0.64,-0.49
254,3,-0.81,-0.6
254,4,-0.95,-0.84
254,5,-1.13,-1.09
254,6,-1.12,-1.31
255,1,0,0
255,2,-0.53,0.32
255,3,-0.12,-0.52
255,4,5.83,2.15
255,5,1.56,1.55
255,6,0.83,0.7
256,1,0,0
256,2,-0.9,-0.33
256,3,-0.97,-0.55
256,4,-1.36,-0.49
256,5,-0.59,-0.39
256,6,-0.67,-0.47
257,1,0,0
257,2,-0.52,-0.42
257,3,-0.73,-0.66
257,4,0.4,0.85
257,5,-0.23,-0.18
257,6,0.61,-0.17
258,1,0,0
258,2,-0.4,-0.3
258,3,-0.22,-0.31
258,4,-0.22,-0.37
258,5,-0.27,-0.41
258,6,-0.21,-0.43
259,1,-0.71,0
259,2,-0.71,0
259,3,-0.71,1.48
259,4,-0.71,1.11
259,5,-0.66,7.69
259,6,-0.71,1.56
260,1,0,0
260,2,0.79,-0.22
260,3,0.07,-0.33
260,4,-0.47,-0.59
260,5,0.09,-0.11
260,6,0.55,0.03
261,1,0,0
261,2,-0.48,-0.26
261,3,-0.65,-0.29
261,4,-0.57,-0.54
261,5,-0.53,-0.61
261,6,-0.58,-0.51
262,1,0,0
262,2,0,0
262,3,0,0
262,4,0,0
262,5,0,0
262,6,0,0
263,1,0,0
